trading_day,trade_time,trade_timestamp,exchange_id,instrument_id,open_price,highest_price,lowest_price,close_price,settlement_price,upper_limit_price,lower_limit_price,pre_settlement_price,volume,turnover,open_interest,insert_time
2024.11.01,2024.11.01T09:31:00.000,1730424660000,CFFEX,IC2411	,5873.800000000000181,5878.199999999999818	,5865.399999999999636,5878.199999999999818,0,0,0,0,815,957088960,49996,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T09:32:00.000,1730424720000,CFFEX,IC2411,5878.199999999999818,5886.600000000000363,5875.199999999999818,5882,0,0,0,0,500,588036200,49688,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T09:33:00.000,1730424780000,CFFEX,IC2411,5882.399999999999636,5907.800000000000181,5881.800000000000181,5902.399999999999636,0,0,0,0,571,673126600,49396,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T09:34:00.000,1730424840000,CFFEX,IC2411,5903,5905.199999999999818,5896.199999999999818,5899.199999999999818,0,0,0,0,529,624331600,49092,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T09:35:00.000,1730424900000,CFFEX,IC2411,5899.199999999999818,5900.399999999999636,5893.600000000000363,5899.800000000000181,0,0,0,0,365,430505800,48913,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T09:36:00.000,1730424960000,CFFEX,IC2411,5898.199999999999818,5901.399999999999636,5886.399999999999636,5887.199999999999818,0,0,0,0,306,360661880,48745,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T09:37:00.000,1730425020000,CFFEX,IC2411,5887.399999999999636,5899.399999999999636,5887.399999999999636,5896.800000000000181,0,0,0,0,212,249898080,48623,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T09:38:00.000,1730425080000,CFFEX,IC2411,5896,5904.800000000000181,5893.199999999999818,5903.800000000000181,0,0,0,0,269,317349760,48488,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T09:39:00.000,1730425140000,CFFEX,IC2411,5900.399999999999636,5910.199999999999818,5895,5908.600000000000363,0,0,0,0,285,336400240,48361,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T09:40:00.000,1730425200000,CFFEX,IC2411,5909.199999999999818,5913.399999999999636,5903.800000000000181,5907.800000000000181,0,0,0,0,222,262344640,48251,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T09:41:00.000,1730425260000,CFFEX,IC2411,5908.399999999999636,5910.199999999999818,5902.600000000000363,5908,0,0,0,0,319,376812280,48130,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T09:42:00.000,1730425320000,CFFEX,IC2411,5907.800000000000181,5907.800000000000181,5885,5885.199999999999818,0,0,0,0,309,364223360,48012,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T09:43:00.000,1730425380000,CFFEX,IC2411,5884.199999999999818,5886.600000000000363,5868.600000000000363,5868.600000000000363,0,0,0,0,262,308064120,47912,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T09:44:00.000,1730425440000,CFFEX,IC2411,5866.600000000000363,5868,5853,5853,0,0,0,0,511,599054600,47639,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T09:45:00.000,1730425500000,CFFEX,IC2411,5852.800000000000181,5863.600000000000363,5840.800000000000181,5863,0,0,0,0,639,748555240,47334,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T09:46:00.000,1730425560000,CFFEX,IC2411,5863.800000000000181,5883,5863.800000000000181,5867.199999999999818,0,0,0,0,560,657843640,47038,2024.11.01T18:30:14.636
2024.11.01,2024.11.01T09:47:00.000,1730425620000,CFFEX,IC2411,5866.199999999999818,5869.800000000000181,5854.199999999999818,5859.199999999999818,0,0,0,0,409,479527800,46863,2024.11.01T18:30:14.636
