date,return
2017-08-17,0.0
2017-08-18,0.0
2017-08-19,0.0
2017-08-20,0.0
2017-08-21,0.0
2017-08-22,0.0
2017-08-23,0.017392350000000167
2017-08-24,0.04665849905397845
2017-08-25,-0.007796829327283539
2017-08-26,-0.0012633454348727202
2017-08-27,0.0
2017-08-28,0.0
2017-08-29,0.047522016631524
2017-08-30,-0.006699883736816625
2017-08-31,0.03540434364808309
2017-09-01,0.02216197306017942
2017-09-02,-0.02638549241063204
2017-09-03,0.0
2017-09-04,0.0
2017-09-05,-0.016108246192534592
2017-09-06,0.05484025362816647
2017-09-07,0.014744970026050908
2017-09-08,-0.0953181737001162
2017-09-09,0.0
2017-09-10,0.0
2017-09-11,0.00488708871879151
2017-09-12,-0.010080297606795963
2017-09-13,-0.04412833138011507
2017-09-14,0.0
2017-09-15,-0.0005901664474267099
2017-09-16,-0.02571697876815171
2017-09-17,-0.0038223808093654776
2017-09-18,0.08592831831866587
2017-09-19,-0.029516862305838942
2017-09-20,-0.01894876813470292
2017-09-21,-0.00243454969490442
2017-09-22,0.0
2017-09-23,-0.0047185105228094715
2017-09-24,-0.03009581123941618
2017-09-25,0.06743096368763202
2017-09-26,-0.009303787653214268
2017-09-27,0.07597302529237404
2017-09-28,-0.004204926484944416
2017-09-29,-0.039830167880403944
2017-09-30,0.012776421808702088
2017-10-01,-0.019115448821807712
2017-10-02,0.0
2017-10-03,0.0
2017-10-04,0.0
2017-10-05,0.0
2017-10-06,0.01098555300625681
2017-10-07,-0.005816590518299192
2017-10-08,0.04598879623085228
2017-10-09,0.030050807029299964
2017-10-10,-0.0007722848296835005
2017-10-11,0.004345224446340001
2017-10-12,0.0794360593010568
2017-10-13,0.012612117459519734
2017-10-14,0.0368752148010516
2017-10-15,-0.01599166389813278
2017-10-16,0.0
2017-10-17,0.0
2017-10-18,0.0
2017-10-19,-0.004327790513801055
2017-10-20,0.0543092060874415
2017-10-21,0.002363050117033083
2017-10-22,-0.018569876858817502
2017-10-23,0.0
2017-10-24,0.0
2017-10-25,0.0
2017-10-26,0.02350641465435821
2017-10-27,-0.015055095686015263
2017-10-28,-0.014564866965207202
2017-10-29,0.06309483959808748
2017-10-30,-0.007627848742392085
2017-10-31,0.05320572790982969
2017-11-01,0.027982558201046004
2017-11-02,0.037290963230951046
2017-11-03,0.012847516388137636
2017-11-04,0.004664968621463039
2017-11-05,0.0
2017-11-06,0.0
2017-11-07,0.0
2017-11-08,-0.050471975275649616
2017-11-09,-0.034630416971995315
2017-11-10,0.0
2017-11-11,0.0
2017-11-12,0.0
2017-11-13,0.005898753601673912
2017-11-14,0.015995838249831973
2017-11-15,0.09606295349569471
2017-11-16,0.08461586384353548
2017-11-17,-0.01999264566343184
2017-11-18,-0.002988931396601613
2017-11-19,0.0
2017-11-20,-0.0006887875978101032
2017-11-21,-0.07623963442558812
2017-11-22,0.0
2017-11-23,0.0
2017-11-24,0.0
2017-11-25,0.03151323453601007
2017-11-26,0.046621439488666816
2017-11-27,0.03119895451012189
2017-11-28,-0.024383502870729767
2017-11-29,0.06855937243378785
2017-11-30,0.0
2017-12-01,0.02281382895331885
2017-12-02,0.009402015024781107
2017-12-03,0.02396932272343011
2017-12-04,-0.0038002271031436496
2017-12-05,0.0
2017-12-06,0.10036050229912319
2017-12-07,0.30141484728801493
2017-12-08,-0.1214178344888841
2017-12-09,-0.09237970875626733
2017-12-10,0.0
2017-12-11,0.07264071126676108
2017-12-12,0.002960187836966499
2017-12-13,0.0
2017-12-14,0.0
2017-12-15,0.023754372571082927
2017-12-16,0.08456577411053723
2017-12-17,-0.01896035080193248
2017-12-18,-0.04791280888074989
2017-12-19,0.0
2017-12-20,-0.023357871117857143
2017-12-21,0.0
2017-12-22,0.0
2017-12-23,-0.04702221518634653
2017-12-24,-0.09246618933569761
2017-12-25,0.0031867754700134476
2017-12-26,0.008884844935193703
2017-12-27,0.05061814479903237
2017-12-28,0.3104270130865441
2017-12-29,0.0
2017-12-30,0.0
2017-12-31,-0.00458789954832417
2018-01-01,-0.03222487459415857
2018-01-02,0.12697161590799988
2018-01-03,0.015782577683940868
2018-01-04,-0.026790933339510326
2018-01-05,0.03238871033316837
2018-01-06,-0.013710630117541811
2018-01-07,0.058297466773621354
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,0.0
2018-01-12,-0.010918102653329598
2018-01-13,0.03242324009900477
2018-01-14,-0.11133296251075142
2018-01-15,-0.007290078793002808
2018-01-16,-0.040347244280863004
2018-01-17,0.0
2018-01-18,-0.047363538315898235
2018-01-19,0.006663384217074242
2018-01-20,0.06473605068747745
2018-01-21,0.11632757592193044
2018-01-22,0.0
2018-01-23,0.0
2018-01-24,0.034073965545529994
2018-01-25,-0.014612262818836097
2018-01-26,-0.06510325435454678
2018-01-27,0.02083214863533467
2018-01-28,0.03209329180418519
2018-01-29,-0.04860290780323018
2018-01-30,0.0
2018-01-31,0.0
2018-02-01,0.0
2018-02-02,0.0
2018-02-03,0.010435456357898998
2018-02-04,-0.10201267533014369
2018-02-05,0.0
2018-02-06,0.013716089960252198
2018-02-07,0.02309059960347759
2018-02-08,0.023130083918734945
2018-02-09,0.10909661711322616
2018-02-10,0.022089562453359246
2018-02-11,0.07145364678252841
2018-02-12,0.04851366870364693
2018-02-13,-0.030656852606119833
2018-02-14,0.06209677056650409
2018-02-15,0.0642012546190156
2018-02-16,0.015149882713440421
2018-02-17,0.08209717395150884
2018-02-18,-0.04222684085160966
2018-02-19,0.0
2018-02-20,-0.01852106486894134
