date,return
2017-08-31,0.13683831000000013
2017-09-30,-0.04062985790828966
2017-10-31,0.3551488293071694
2017-11-30,0.26498333345118463
2017-12-31,0.5719889244807888
2018-01-31,0.0932459371392036
2018-02-28,0.47031443032636644
2018-03-31,-0.13470768247508524
2018-04-30,0.07812373718629528
2018-05-31,-0.01617882169747442
2018-06-30,-0.005511802618476169
2018-07-31,0.24114971944676022
2018-08-31,-0.18021263199644133
2018-09-30,0.02236172103505396
2018-10-31,0.0621830097686733
2018-11-30,-0.1166066232778401
2018-12-31,-0.006681823319913072
2019-01-31,-0.015164987234268845
2019-02-28,0.08783604072884965
2019-03-31,0.03291224597978282
2019-04-30,0.14959666968669194
2019-05-31,0.27433699586589855
2019-06-30,0.23650576855303362
2019-07-31,-0.06661450928862722
2019-08-31,0.04095170550513072
2019-09-30,0.07164636830884707
2019-10-31,0.08884841782464847
2019-11-30,-0.16399074823721993
2019-12-31,-0.045376196245333844
2020-01-31,0.09255618348555195
2020-02-29,-0.048612355377086525
2020-03-31,-0.23336367723740703
2020-04-30,0.06726994431225086
2020-05-31,0.11965622047840418
2020-06-30,-0.12952510870325729
2020-07-31,0.175350885993796
2020-08-31,-0.09931392257081961
2020-09-30,0.02457739590341035
2020-10-31,0.1448362279012354
2020-11-30,0.28958491284640564
2020-12-31,0.2953150956951698
2021-01-31,0.2938329449261319
2021-02-28,0.020264218246039967
2021-03-31,0.19595081996887043
2021-04-30,0.0430164390288843
2021-05-31,-0.34758178706395293
2021-06-30,0.06353737382481439
2021-07-31,0.00041473323642104987
2021-08-31,0.00987790233827801
2021-09-30,-0.12702700055032978
2021-10-31,0.08626552880271632
2021-11-30,-0.011237363874095574
2021-12-31,-0.10633638519319999
2022-01-31,-0.06473321001998178
2022-02-28,0.010612622036033859
2022-03-31,0.003947409959034198
2022-04-30,-0.1527786892760048
2022-05-31,-0.2247330420472965
2022-06-30,-0.16802626107730156
2022-07-31,0.272296685132408
2022-08-31,-0.042067416184243034
2022-09-30,-0.0736672007847905
2022-10-31,0.013917611938557783
2022-11-30,-0.010942884354680382
2022-12-31,-0.0395841622994445
2023-01-31,0.19641525883864053
2023-02-28,0.07373577854887658
2023-03-31,0.05856257583776592
2023-04-30,0.05632314201604771
2023-05-31,-0.015987326691174197
2023-06-30,0.006416055909958418
2023-07-31,-0.05266226209963043
2023-08-31,0.007134554463892329
2023-09-30,0.021362424922242162
2023-10-31,0.20981371440290197
2023-11-30,-0.033826438820352966
2023-12-31,0.14229926631958478
2024-01-31,0.016048894424452786
2024-02-29,0.24484388697288195
2024-03-31,-0.08297318922403585
2024-04-30,-0.11071483962555928
2024-05-31,0.038477261461278944
2024-06-30,-0.06822216041950169
2024-07-31,0.04612994388804248
2024-08-31,0.02951323283955154
2024-09-30,0.018085278707912433
2024-10-31,0.15427834337708646
2024-11-30,0.23757138745791573
