,reportDate,date,beforeAfterMarket,currency,epsActual,epsEstimate,epsDifference,surprisePercent
2011-09-30,2011-10-18,2011-09-30,AfterMarket,USD,0.2525,0.265,-0.0125,-4.717
2011-12-31,2012-01-24,2011-12-31,AfterMarket,USD,0.495,0.3625,0.1325,36.5517
2012-03-31,2012-04-24,2012-03-31,AfterMarket,USD,0.44,0.3575,0.0825,23.0769
2012-06-30,2012-07-24,2012-06-30,AfterMarket,USD,0.3325,0.37,-0.0375,-10.1351
2012-09-30,2012-10-25,2012-09-30,AfterMarket,USD,0.31,0.3125,-0.0025,-0.8
2012-12-31,2013-01-23,2012-12-31,AfterMarket,USD,0.4925,0.48,0.0125,2.6042
2013-03-31,2013-04-23,2013-03-31,AfterMarket,USD,0.36,0.3575,0.0025,0.6993
2013-06-30,2013-07-23,2013-06-30,AfterMarket,USD,0.2675,0.2625,0.005,1.9048
2013-09-30,2013-10-28,2013-09-30,AfterMarket,USD,0.295,0.285,0.01,3.5088
2013-12-31,2014-01-27,2013-12-31,AfterMarket,USD,0.5175,0.5025,0.015,2.9851
2014-03-31,2014-04-23,2014-03-31,AfterMarket,USD,0.415,0.365,0.05,13.6986
2014-06-30,2014-07-22,2014-06-30,AfterMarket,USD,0.32,0.3075,0.0125,4.065
2014-09-30,2014-10-20,2014-09-30,AfterMarket,USD,0.355,0.3275,0.0275,8.3969
2014-12-31,2015-01-27,2014-12-31,AfterMarket,USD,0.765,0.65,0.115,17.6923
2015-03-31,2015-04-27,2015-03-31,AfterMarket,USD,0.5825,0.54,0.0425,7.8704
2015-06-30,2015-07-21,2015-06-30,AfterMarket,USD,0.4625,0.4525,0.01,2.2099
2015-09-30,2015-10-27,2015-09-30,AfterMarket,USD,0.49,0.47,0.02,4.2553
2015-12-31,2016-01-26,2015-12-31,AfterMarket,USD,0.82,0.8075,0.0125,1.548
2016-03-31,2016-04-26,2016-03-31,AfterMarket,USD,0.475,0.5,-0.025,-5.0
2016-06-30,2016-07-26,2016-06-30,AfterMarket,USD,0.355,0.345,0.01,2.8986
2016-09-30,2016-10-25,2016-09-30,AfterMarket,USD,0.4175,0.415,0.0025,0.6024
2016-12-31,2017-01-31,2016-12-31,AfterMarket,USD,0.84,0.8025,0.0375,4.6729
2017-03-31,2017-05-02,2017-03-31,AfterMarket,USD,0.525,0.505,0.02,3.9604
2017-06-30,2017-08-01,2017-06-30,AfterMarket,USD,0.4175,0.3925,0.025,6.3694
2017-09-30,2017-11-02,2017-09-30,AfterMarket,USD,0.5175,0.4675,0.05,10.6952
2017-12-31,2018-02-01,2017-12-31,AfterMarket,USD,0.9725,0.965,0.0075,0.7772
2018-03-31,2018-05-01,2018-03-31,AfterMarket,USD,0.6825,0.6725,0.01,1.487
2018-06-30,2018-07-31,2018-06-30,AfterMarket,USD,0.585,0.545,0.04,7.3394
2018-09-30,2018-11-01,2018-09-30,AfterMarket,USD,0.73,0.7,0.03,4.2857
2018-12-31,2019-01-29,2018-12-31,AfterMarket,USD,1.05,1.04,0.01,0.9615
2019-03-31,2019-04-30,2019-03-31,AfterMarket,USD,0.62,0.59,0.03,5.0847
2019-06-30,2019-07-30,2019-06-30,AfterMarket,USD,0.55,0.53,0.02,3.7736
2019-09-30,2019-10-30,2019-09-30,AfterMarket,USD,0.76,0.71,0.05,7.0423
2019-12-31,2020-01-28,2019-12-31,AfterMarket,USD,1.25,1.14,0.11,9.6491
2020-03-31,2020-04-30,2020-03-31,AfterMarket,USD,0.64,0.56,0.08,14.2857
2020-06-30,2020-07-30,2020-06-30,AfterMarket,USD,0.65,0.51,0.14,27.451
2020-09-30,2020-10-29,2020-09-30,AfterMarket,USD,0.73,0.7,0.03,4.2857
2020-12-31,2021-01-27,2020-12-31,AfterMarket,USD,1.68,1.41,0.27,19.1489
2021-03-31,2021-04-28,2021-03-31,AfterMarket,USD,1.4,0.99,0.41,41.4141
2021-06-30,2021-07-27,2021-06-30,AfterMarket,USD,1.3,1.01,0.29,28.7129
2021-09-30,2021-10-28,2021-09-30,AfterMarket,USD,1.24,1.24,0.0,0.0
2021-12-31,2022-01-27,2021-12-31,AfterMarket,USD,2.1,1.89,0.21,11.1111
2022-03-31,2022-04-28,2022-03-31,AfterMarket,USD,1.52,1.43,0.09,6.2937
2022-06-30,2022-07-28,2022-06-30,AfterMarket,USD,1.2,1.16,0.04,3.4483
2022-09-30,2022-10-27,2022-09-30,AfterMarket,USD,1.29,1.27,0.02,1.5748
2022-12-31,2023-02-02,2022-12-31,AfterMarket,USD,1.88,1.94,-0.06,-3.0928
2023-03-31,2023-05-04,2023-03-31,AfterMarket,USD,1.52,1.43,0.09,6.2937
2023-06-30,2023-08-03,2023-06-30,AfterMarket,USD,1.26,1.19,0.07,5.8824
2023-09-30,2023-11-02,2023-09-30,AfterMarket,USD,1.46,1.39,0.07,5.036
2023-12-31,2024-02-01,2023-12-31,AfterMarket,USD,2.18,2.1,0.08,3.8095
2024-03-31,2024-05-02,2024-03-31,AfterMarket,USD,1.53,1.5,0.03,2.0
2024-06-30,2024-08-01,2024-06-30,AfterMarket,USD,1.4,1.35,0.05,3.7037
2024-09-30,2024-10-31,2024-09-30,AfterMarket,USD,1.64,1.6,0.04,2.5
2024-12-31,2025-01-30,2024-12-31,AfterMarket,USD,,2.36,,
2025-03-31,2025-04-30,2025-03-31,BeforeMarket,USD,,,,
2025-06-30,2025-07-30,2025-06-30,BeforeMarket,USD,,,,
